XN(学年),XQ(学期),ZC(周次),SKXQ(上课学期),RQ(日期),KSJC(开始节次),KSJCSJ(开始节次时间),JSJC(结束节次),JSJCSJ(结束节次时间),XH(学号),XY(学院),ZY(专业),NJ(年级),JASDM(教室),KCM(课程名),KCH(课程号),KXH(课序号),JSMC(教室名称),SZJZ(所在建筑),SZLC(所在楼层),FJBH(房间编号),PLACE_CODE(房间编码),SZXQ(所在校区),FJEJFL(房间二级分类),JZBM(建筑编码),ZTDM(状态代码),ZT(状态),DKSJ(打卡时间),KCXZ(课程学制),KCLB(课程类别)
2024-2025,1,9,1,2024-10-28,3,,4,,pjxyqxbj683,物理学院,电子信息科学与技术,2020,EI-213,学术英语视听说,FL006104,,,E楼一区,2,EI-213,23100302101012,南校区,分组研讨教室,231003,2,正常,2024-10-28 10:19:00,学校限选,通识教育基础课
2024-2025,1,9,1,2024-10-28,3,,4,,pjxyqwbj288,人工智能学院,智能科学与技术,2020,EI-213,学术英语视听说,FL006104,,,E楼一区,2,EI-213,23100302101012,南校区,分组研讨教室,231003,2,正常,2024-10-28 10:11:00,学校限选,通识教育基础课
2024-2025,1,9,1,2024-10-28,3,,4,,pjwrqxbj905,先进材料与纳米科技学院,应用化学,2020,EI-213,学术英语视听说,FL006104,,,E楼一区,2,EI-213,23100302101012,南校区,分组研讨教室,231003,2,正常,2024-10-28 10:09:00,学校限选,通识教育基础课
2024-2025,1,9,1,2024-10-28,5,,6,,pjxuqwbj496,机电工程学院,工业设计,2020,C-427,人机工程学,ME025203,,,C楼,4,C-427,23100204101027,南校区,多媒体教室,231002,2,正常,2024-10-28 13:54:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjxpqxbj978,经济与管理学院,金融学,2020,C-327,风险管理,EM044009,,,C楼,3,C-327,23100203101027,南校区,多媒体教室,231002,2,正常,2024-10-28 08:28:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,XI-105,航天器控制原理,SS202026,,,X楼I区,1,I-105,23100101101015,南校区,远程互动教室,231001,2,正常,2024-10-28 08:32:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjxyqxbl763,空间科学与技术学院,探测制导与控制技术,2020,XI-105,航天器控制原理,SS202026,,,X楼I区,1,I-105,23100101101015,南校区,远程互动教室,231001,4,缺勤,,,
2024-2025,1,9,1,2024-10-28,3,,4,,pjxyqxbj754,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-28 10:24:00,,
2024-2025,1,9,1,2024-10-28,3,,4,,pjxyqxbj501,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-28 10:25:00,,
2024-2025,1,9,1,2024-10-28,3,,4,,pjxyqxbj162,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-28 10:25:00,,
2024-2025,1,9,1,2024-10-28,3,,4,,pjxyqxbj100,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-28 10:25:00,,
2024-2025,1,9,1,2024-10-28,3,,4,,pjxyqxbk916,光电工程学院,电子科学与技术,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-28 10:24:00,,
2024-2025,1,9,1,2024-10-28,3,,4,,pjxyqxbk732,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-28 10:25:00,,
2024-2025,1,9,1,2024-10-28,3,,4,,pjxyqxbk579,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-28 10:24:00,,
2024-2025,1,9,1,2024-10-28,3,,4,,pjxyqxbk080,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-28 11:24:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjwrqxbj905,先进材料与纳米科技学院,应用化学,2020,C-116,界面活性技术,MA225118,,,C楼,1,C-116,23100201101037,南校区,远程互动教室,231002,2,正常,2024-10-28 08:27:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjwrqxbj901,先进材料与纳米科技学院,应用化学,2020,C-116,界面活性技术,MA225118,,,C楼,1,C-116,23100201101037,南校区,远程互动教室,231002,2,正常,2024-10-28 08:27:00,,
2024-2025,1,9,3,2024-10-30,9,,10,,pjxyqxbk854,通信工程学院,通信工程,2020,A-413,看电影学历史(明清专题),HA006165,,,A楼,4,A-413,23100504101014,南校区,多媒体教室,231005,2,正常,2024-10-30 18:53:00,,
2024-2025,1,9,3,2024-10-30,9,,10,,pjxyqxbk373,物理学院,电子信息科学与技术,2020,A-413,看电影学历史(明清专题),HA006165,,,A楼,4,A-413,23100504101014,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,9,3,2024-10-30,9,,10,,pjxyqwbj397,网络与信息安全学院,网络空间安全,2020,A-413,看电影学历史(明清专题),HA006165,,,A楼,4,A-413,23100504101014,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,9,3,2024-10-30,9,,10,,pjxwxxbj993,电子工程学院,电子信息工程,2020,A-413,看电影学历史(明清专题),HA006165,,,A楼,4,A-413,23100504101014,南校区,多媒体教室,231005,2,正常,2024-10-30 18:54:00,,
2024-2025,1,9,3,2024-10-30,9,,10,,pjxrqxbj905,数学与统计学院,信息与计算科学,2020,A-413,看电影学历史(明清专题),HA006165,,,A楼,4,A-413,23100504101014,南校区,多媒体教室,231005,2,正常,2024-10-30 18:50:00,,
2024-2025,1,9,3,2024-10-30,9,,10,,pjxyqxbl739,物理学院,电子信息科学与技术,2020,A-313,汉字毛笔书写初涉,HE006022,,,A楼,3,A-313,23100503101015,南校区,多媒体教室,231005,2,正常,2024-10-30 19:22:00,,
2024-2025,1,9,3,2024-10-30,9,,10,,pjwrzxbj996,先进材料与纳米科技学院,材料科学与工程,2020,A-405,人体漫游——人体解剖生理学概论,LS006006,,,A楼,4,A-405,23100504101005,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,A-214,离散数学（II）,CS205302,,,A楼,2,A-214,23100502101015,南校区,多媒体教室,231005,2,正常,2024-10-30 10:26:00,,
2024-2025,1,9,3,2024-10-30,1,,2,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,A-223,数据挖掘,CS205204,,,A楼,2,A-223,23100502101025,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqwbj288,人工智能学院,智能科学与技术,2020,A-226,人工智能概论,AI202008,,,A楼,2,A-226,23100502101029,南校区,多媒体教室,231005,2,正常,2024-10-30 10:16:00,,
2024-2025,1,9,3,2024-10-30,9,,10,,pjxyqwbk652,计算机科学与技术学院,软件工程,2020,A-226,《老子》导读,HA006005,,,A楼,2,A-226,23100502101029,南校区,多媒体教室,231005,2,正常,2024-10-30 18:57:00,公共任选,通识教育选修课
2024-2025,1,9,3,2024-10-30,9,,10,,pjxyqxbl763,空间科学与技术学院,探测制导与控制技术,2020,A-308,生活中的柔性电子技术与体验,IA006002,,,A楼,3,A-308,23100503101009,南校区,多媒体教室,231005,5,代签,2024-10-30 19:28:00,公共任选,通识教育选修课
2024-2025,1,9,2,2024-10-29,5,,6,,pjxyqxbk125,电子工程学院,电子信息工程,2020,XI-420,信号完整性分析,EE015221,,,X楼I区,4,I-420,23100104101022,南校区,多媒体教室,231001,5,代签,2024-11-05 13:47:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxwxxbj993,电子工程学院,电子信息工程,2020,B-443,科技论文写作,EE205073,,,B楼,4,B-443,23100404101044,南校区,多媒体教室,231004,4,缺勤,,,
2024-2025,1,9,3,2024-10-30,1,,2,,pjxyqxbk603,微电子学院,微电子科学与工程,2020,B-412,Methods to Write Research Papers,MI205013,,,B楼,4,B-412,23100404101012,南校区,多媒体教室,231004,2,正常,2024-10-30 08:41:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjxyqxbj709,物理学院,电子信息科学与技术,2020,XI-413,微波遥感基础,PY055068,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,2,正常,2024-10-28 10:02:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjxyqxbj683,物理学院,电子信息科学与技术,2020,XI-413,微波遥感基础,PY055068,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,2,正常,2024-10-28 10:02:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjxyqxbk373,物理学院,电子信息科学与技术,2020,XI-413,微波遥感基础,PY055068,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,4,缺勤,,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjxyqxbk268,物理学院,电子信息科学与技术,2020,XI-413,微波遥感基础,PY055068,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,2,正常,2024-10-28 10:02:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjxyqxbl739,物理学院,电子信息科学与技术,2020,XI-413,微波遥感基础,PY055068,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,2,正常,2024-10-28 10:02:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjxyqxbl688,物理学院,电子信息科学与技术,2020,XI-413,微波遥感基础,PY055068,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,2,正常,2024-10-28 10:02:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjxyqxbk579,光电工程学院,光电信息科学与工程,2020,XI-210,光电成像原理,OE015029,,,X楼I区,2,I-210,23100102101011,南校区,多媒体教室,231001,2,正常,2024-10-28 08:28:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjxyqxbk080,光电工程学院,光电信息科学与工程,2020,XI-210,光电成像原理,OE015029,,,X楼I区,2,I-210,23100102101011,南校区,多媒体教室,231001,2,正常,2024-10-28 08:28:00,,
2024-2025,1,9,1,2024-10-28,5,,6,,pjxyqxbj501,光电工程学院,光电信息科学与工程,2020,XI-418,Optoelectronics and Integrated Optics（双语）,OE015059,,,X楼I区,4,I-418,23100104101020,南校区,多媒体教室,231001,2,正常,2024-10-28 13:59:00,,
2024-2025,1,9,1,2024-10-28,5,,6,,pjxyqxbk916,光电工程学院,电子科学与技术,2020,XI-418,Optoelectronics and Integrated Optics（双语）,OE015059,,,X楼I区,4,I-418,23100104101020,南校区,多媒体教室,231001,2,正常,2024-10-28 13:59:00,,
2024-2025,1,9,1,2024-10-28,3,,4,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,XI-321,等离子体物理基础及应用,SS204212,,,X楼I区,3,I-321,23100103101021,南校区,多媒体教室,231001,2,正常,2024-10-28 10:20:00,,
2024-2025,1,9,1,2024-10-28,3,,4,,pjxyqxbk723,空间科学与技术学院,空间科学与技术,2020,XI-321,等离子体物理基础及应用,SS204212,,,X楼I区,3,I-321,23100103101021,南校区,多媒体教室,231001,4,缺勤,,,
2024-2025,1,9,1,2024-10-28,7,,8,,pjxyqxbk503,电子工程学院,电子信息工程,2020,XI-105,电磁兼容原理与技术,EE015223,,,X楼I区,1,I-105,23100101101015,南校区,远程互动教室,231001,2,正常,2024-10-28 15:48:00,,
2024-2025,1,9,1,2024-10-28,1,,2,,pjxyqxbl712,空间科学与技术学院,探测制导与控制技术,2020,XI-322,飞行动力学,SS202049,,,X楼I区,3,I-322,23100103101022,南校区,多媒体教室,231001,4,缺勤,,,
2024-2025,1,9,1,2024-10-28,5,,6,,pjxyqxbk503,电子工程学院,电子信息工程,2020,XI-414,雷达对抗原理,EE015220,,,X楼I区,4,I-414,23100104101017,南校区,多媒体教室,231001,2,正常,2024-10-28 13:42:00,必修,专业课(专业核心课)
2024-2025,1,9,1,2024-10-28,5,,6,,pjxyqxbk477,电子工程学院,电子信息工程,2020,XI-414,雷达对抗原理,EE015220,,,X楼I区,4,I-414,23100104101017,南校区,多媒体教室,231001,2,正常,2024-10-28 13:56:00,必修,专业课(专业核心课)
2024-2025,1,9,1,2024-10-28,1,,2,,pjxyqxbj840,光电工程学院,电子科学与技术,2020,XI-415,光电成像原理,OE015029,,,X楼I区,4,I-415,23100104101018,南校区,多媒体教室,231001,5,代签,2024-10-28 08:31:00,,
2024-2025,1,9,2,2024-10-29,1,,2,,pjwrqxbj905,先进材料与纳米科技学院,应用化学,2020,C-231,电子工艺化学原理,MA225119,,,C楼,2,C-231,23100202101031,南校区,基础智慧教室,231002,5,代签,2024-10-29 08:29:00,,
2024-2025,1,9,2,2024-10-29,1,,2,,pjwrqxbj901,先进材料与纳米科技学院,应用化学,2020,C-231,电子工艺化学原理,MA225119,,,C楼,2,C-231,23100202101031,南校区,基础智慧教室,231002,2,正常,2024-10-29 08:27:00,,
2024-2025,1,9,1,2024-10-28,9,,10,,pjxrqxbj905,数学与统计学院,信息与计算科学,2020,XI-105,小波分析及其应用,MS204045,,,X楼I区,1,I-105,23100101101015,南校区,远程互动教室,231001,4,缺勤,,,
2024-2025,1,9,1,2024-10-28,5,,6,,pjxuqwbj935,机电工程学院,机械设计制造及其自动化,2020,XI-319,电子产品热设计技术讲座,ME010008,,,X楼I区,3,I-319,23100103101019,南校区,多媒体教室,231001,2,正常,2024-10-28 13:58:00,,
2024-2025,1,9,1,2024-10-28,5,,6,,pjxuqwbj631,机电工程学院,机械设计制造及其自动化,2020,XI-319,电子产品热设计技术讲座,ME010008,,,X楼I区,3,I-319,23100103101019,南校区,多媒体教室,231001,2,正常,2024-10-28 13:58:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqxbl763,空间科学与技术学院,探测制导与控制技术,2020,C-115,英语阅读,FL025018,,,C楼,1,C-115,23100201101036,南校区,分组研讨教室,231002,2,正常,2024-10-30 10:20:00,,
2024-2025,1,9,3,2024-10-30,1,,2,,pjwrzxbj996,先进材料与纳米科技学院,材料科学与工程,2020,C-427,微机原理与系统设计,MA215106,,,C楼,4,C-427,23100204101027,南校区,多媒体教室,231002,5,代签,2024-10-30 10:06:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqxbj754,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-30 10:17:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqxbj501,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,4,缺勤,,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqxbj162,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,5,代签,2024-10-30 10:22:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqxbj100,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-30 10:15:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqxbk916,光电工程学院,电子科学与技术,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-30 10:24:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqxbk732,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-30 10:16:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqxbk579,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-30 10:23:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqxbk080,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-10-30 10:15:00,,
2024-2025,1,9,3,2024-10-30,5,,6,,pjxuqwbj496,机电工程学院,工业设计,2020,C-229,造型材料与工艺,ME025204,,,C楼,2,C-229,23100202101029,南校区,基础智慧教室,231002,2,正常,2024-10-30 15:37:00,,
2024-2025,1,9,3,2024-10-30,1,,2,,pjxpqxbj978,经济与管理学院,金融学,2020,C-327,风险管理,EM044009,,,C楼,3,C-327,23100203101027,南校区,多媒体教室,231002,2,正常,2024-10-30 08:27:00,,
2024-2025,1,9,3,2024-10-30,1,,2,,pjxyqwbk736,网络与信息安全学院,密码科学与技术,2020,C-328,区块链安全技术,CE204159,,,C楼,3,C-328,23100203101028,南校区,基础智慧教室,231002,2,正常,2024-10-30 08:23:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqxbk723,空间科学与技术学院,空间科学与技术,2020,C-207,空间电子器件物理学,SS204215,,,C楼,2,C-207,23100202101007,南校区,基础智慧教室,231002,5,代签,2024-11-01 10:00:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqxbk615,空间科学与技术学院,空间科学与技术,2020,C-207,空间电子器件物理学,SS204215,,,C楼,2,C-207,23100202101007,南校区,基础智慧教室,231002,5,代签,2024-11-01 10:00:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjwrqxbj905,先进材料与纳米科技学院,应用化学,2020,C-231,电子工艺化学原理,MA225119,,,C楼,2,C-231,23100202101031,南校区,基础智慧教室,231002,2,正常,2024-10-30 10:24:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjwrqxbj901,先进材料与纳米科技学院,应用化学,2020,C-231,电子工艺化学原理,MA225119,,,C楼,2,C-231,23100202101031,南校区,基础智慧教室,231002,2,正常,2024-10-30 10:18:00,,
2024-2025,1,9,4,2024-10-31,7,,8,,pjxyqxbl723,通信工程学院,通信工程,2020,A-418,外国文学著作与电影赏析（1）,HA006080,,,A楼,4,A-418,23100504101019,南校区,多媒体教室,231005,2,正常,2024-10-31 15:51:00,公共任选,通识教育选修课
2024-2025,1,9,4,2024-10-31,5,,6,,pjxyqxbk894,通信工程学院,通信工程,2020,A-602,交响乐欣赏入门,HA006111,,,A楼,6,A-602,23100506101002,南校区,多媒体教室,231005,2,正常,2024-10-31 13:55:00,公共任选,通识教育选修课
2024-2025,1,9,4,2024-10-31,5,,6,,pjxyqxbk854,通信工程学院,通信工程,2020,A-602,交响乐欣赏入门,HA006111,,,A楼,6,A-602,23100506101002,南校区,多媒体教室,231005,2,正常,2024-10-31 13:55:00,公共任选,通识教育选修课
2024-2025,1,9,4,2024-10-31,7,,8,,pjxyqxbk268,物理学院,电子信息科学与技术,2020,A-602,肖邦钢琴音乐欣赏,HA006122,,,A楼,6,A-602,23100506101002,南校区,多媒体教室,231005,3,请假,2024-10-31 15:35:00,,
2024-2025,1,9,4,2024-10-31,7,,8,,pjxyqxbl739,物理学院,电子信息科学与技术,2020,A-602,肖邦钢琴音乐欣赏,HA006122,,,A楼,6,A-602,23100506101002,南校区,多媒体教室,231005,2,正常,2024-10-31 15:50:00,,
2024-2025,1,9,4,2024-10-31,3,,4,,pjxuqwbj511,机电工程学院,测控技术与仪器,2020,A-505,职业发展与就业指导（上）,24TS0003,,,A楼,5,A-505,23100505101006,南校区,多媒体教室,231005,2,正常,2024-10-31 10:18:00,,
2024-2025,1,9,4,2024-10-31,7,,8,,pjxyqxbj754,光电工程学院,光电信息科学与工程,2020,A-604,经典舞剧与音乐鉴赏Ⅱ,HA006113,,,A楼,6,A-604,23100506101004,南校区,多媒体教室,231005,2,正常,2024-10-31 15:59:00,,
2024-2025,1,9,4,2024-10-31,7,,8,,pjxyqxbj501,光电工程学院,光电信息科学与工程,2020,A-604,经典舞剧与音乐鉴赏Ⅱ,HA006113,,,A楼,6,A-604,23100506101004,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,9,4,2024-10-31,7,,8,,pjxyqxbk918,光电工程学院,光电信息科学与工程,2020,A-604,经典舞剧与音乐鉴赏Ⅱ,HA006113,,,A楼,6,A-604,23100506101004,南校区,多媒体教室,231005,3,请假,2024-10-31 15:35:00,,
2024-2025,1,9,4,2024-10-31,7,,8,,pjxyqxbk894,通信工程学院,通信工程,2020,A-604,经典舞剧与音乐鉴赏Ⅱ,HA006113,,,A楼,6,A-604,23100506101004,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,9,4,2024-10-31,7,,8,,pjxuqwbj631,机电工程学院,机械设计制造及其自动化,2020,A-604,经典舞剧与音乐鉴赏Ⅱ,HA006113,,,A楼,6,A-604,23100506101004,南校区,多媒体教室,231005,2,正常,2024-10-31 15:59:00,,
2024-2025,1,9,4,2024-10-31,1,,2,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,B-203,信号隐身导论,EE085036,,,B楼,2,B-203,23100402101006,南校区,基础智慧教室,231004,2,正常,2024-10-31 08:24:00,,
2024-2025,1,9,4,2024-10-31,7,,8,,pjxyqxbk732,光电工程学院,光电信息科学与工程,2020,A-517,戏剧鉴赏,HA006072,,,A楼,5,A-517,23100505101019,南校区,多媒体教室,231005,2,正常,2024-10-31 15:50:00,,
2024-2025,1,9,4,2024-10-31,7,,8,,pjxuqwbj935,机电工程学院,机械设计制造及其自动化,2020,A-517,戏剧鉴赏,HA006072,,,A楼,5,A-517,23100505101019,南校区,多媒体教室,231005,2,正常,2024-10-31 15:52:00,,
2024-2025,1,9,4,2024-10-31,9,,10,,pjxyqxbj100,光电工程学院,光电信息科学与工程,2020,A-220,设计美学,ME006031,,,A楼,2,A-220,23100502101022,南校区,多媒体教室,231005,2,正常,2024-10-31 18:57:00,,
2024-2025,1,9,4,2024-10-31,9,,10,,pjxyqxbk081,通信工程学院,信息工程,2020,A-220,设计美学,ME006031,,,A楼,2,A-220,23100502101022,南校区,多媒体教室,231005,2,正常,2024-10-31 18:57:00,,
2024-2025,1,9,4,2024-10-31,9,,10,,pjxyqxbl763,空间科学与技术学院,探测制导与控制技术,2020,A-220,设计美学,ME006031,,,A楼,2,A-220,23100502101022,南校区,多媒体教室,231005,2,正常,2024-10-31 18:57:00,,
2024-2025,1,9,4,2024-10-31,9,,10,,pjxuqwbj496,机电工程学院,工业设计,2020,A-220,设计美学,ME006031,,,A楼,2,A-220,23100502101022,南校区,多媒体教室,231005,5,代签,2024-10-31 20:36:00,,
2024-2025,1,9,3,2024-10-30,1,,2,,pjxyqxbj271,光电工程学院,电子科学与技术,2020,XI-205,物理光学,OE014007,,,X楼I区,2,I-205,23100102101006,南校区,多媒体教室,231001,4,缺勤,,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxsqxbj969,通信工程学院,通信工程,2020,XI-405,信道编码前沿理论,TE205105,,,X楼I区,4,I-405,23100104101009,南校区,多媒体教室,231001,2,正常,2024-10-30 10:22:00,,
2024-2025,1,9,3,2024-10-30,5,,6,,pjxsqxbj969,通信工程学院,通信工程,2020,XI-405,信道编码前沿理论,TE205105,,,X楼I区,4,I-405,23100104101009,南校区,多媒体教室,231001,2,正常,2024-10-30 13:56:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,XI-217,自动控制原理,EE015226,,,X楼I区,2,I-217,23100102101018,南校区,多媒体教室,231001,2,正常,2024-10-30 10:23:00,,
2024-2025,1,9,3,2024-10-30,1,,2,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,XI-420,量子物理基础,SS202091,,,X楼I区,4,I-420,23100104101022,南校区,多媒体教室,231001,2,正常,2024-10-30 09:15:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxuqwbj830,机电工程学院,自动化,2020,XI-320,数字图像处理,ME034036,,,X楼I区,3,I-320,23100103101020,南校区,多媒体教室,231001,2,正常,2024-10-30 10:29:00,,
2024-2025,1,9,3,2024-10-30,3,,4,,pjxyqwbj397,网络与信息安全学院,网络空间安全,2020,XI-211,网络协议分析与设计,CE204008,,,X楼I区,2,I-211,23100102101012,南校区,多媒体教室,231001,2,正常,2024-10-30 10:22:00,,
2024-2025,1,9,3,2024-10-30,1,,2,,pjxyqxbj840,光电工程学院,电子科学与技术,2020,XI-413,光电成像原理,OE015029,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,2,正常,2024-10-30 09:18:00,,
2024-2025,1,9,4,2024-10-31,3,,4,,pjxyqwbk652,计算机科学与技术学院,软件工程,2020,B-443,分布式数据库,CS265618,,,B楼,4,B-443,23100404101044,南校区,多媒体教室,231004,4,缺勤,,,
2024-2025,1,9,4,2024-10-31,5,,6,,pjxyqwbj380,计算机科学与技术学院,软件工程,2020,B-412,信息安全概论,CS265016,,,B楼,4,B-412,23100404101012,南校区,多媒体教室,231004,2,正常,2024-10-31 13:51:00,,
2024-2025,1,9,4,2024-10-31,5,,6,,pjxyqwbj279,计算机科学与技术学院,软件工程,2020,B-412,信息安全概论,CS265016,,,B楼,4,B-412,23100404101012,南校区,多媒体教室,231004,2,正常,2024-10-31 13:53:00,,
2024-2025,1,9,4,2024-10-31,5,,6,,pjxyqwbk652,计算机科学与技术学院,软件工程,2020,B-412,信息安全概论,CS265016,,,B楼,4,B-412,23100404101012,南校区,多媒体教室,231004,2,正常,2024-10-31 13:53:00,,
2024-2025,1,9,4,2024-10-31,7,,8,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,B-421,组网与运维,CS205301,,,B楼,4,B-421,23100404101022,南校区,多媒体教室,231004,4,缺勤,,,
2024-2025,1,9,4,2024-10-31,5,,6,,pjxyqxbk503,电子工程学院,电子信息工程,2020,XI-322,工程概论(IV),TS001004-02,,,X楼I区,3,I-322,23100103101022,南校区,多媒体教室,231001,2,正常,2024-10-31 13:57:00,,
2024-2025,1,9,4,2024-10-31,5,,6,,pjxyqxbk477,电子工程学院,电子信息工程,2020,XI-322,工程概论(IV),TS001004-02,,,X楼I区,3,I-322,23100103101022,南校区,多媒体教室,231001,2,正常,2024-10-31 13:58:00,,
2024-2025,1,9,4,2024-10-31,7,,8,,pjxsqxbj969,通信工程学院,通信工程,2020,XI-311,工程概论(IV),TS001004-01,,,X楼I区,3,I-311,23100103101012,南校区,多媒体教室,231001,2,正常,2024-10-31 15:44:00,,
2024-2025,1,9,4,2024-10-31,9,,10,,pjxyqxbk916,光电工程学院,电子科学与技术,2020,XI-121,生命与音乐——认知科学视域下的经典音乐鉴赏,LS006037,,,X楼I区,1,I-121,23100101101034,南校区,远程互动教室,231001,4,缺勤,,,
2024-2025,1,9,4,2024-10-31,9,,10,,pjxyqwbj288,人工智能学院,智能科学与技术,2020,XI-121,生命与音乐——认知科学视域下的经典音乐鉴赏,LS006037,,,X楼I区,1,I-121,23100101101034,南校区,远程互动教室,231001,2,正常,2024-10-31 18:56:00,,
2024-2025,1,9,4,2024-10-31,9,,10,,pjwtqxbj971,生命科学技术学院,生物医学工程,2020,XI-121,生命与音乐——认知科学视域下的经典音乐鉴赏,LS006037,,,X楼I区,1,I-121,23100101101034,南校区,远程互动教室,231001,5,代签,2024-10-31 19:49:00,,
