课程号_统一,KCCCDM(课程层次),KCFLDM(课程分类),JXFSDM(教学方式),SKYZDM(授课语种),KCZTDM(课程状态),KCM(课程名),YWKCM(英文课程名),JXMD(教学目的),XS(学时),XF(学分),KNZXS(课内周学时),KTJSXS(课堂讲授学时),SYXS(实验学时),SJIXS(设计学时),SJXS(上机学时),TLXS(讨论学时),QTXS1(其他学时1),QTXS2(其他学时2),QTXS3(其他学时3),JZSJZ(集中实践周),KCSJXS(课程实践学时),KSLXDM(考试类型),ZWJC(中文教材),ZWCKS(中文参考书),WWJC(外文教材),WWCKS(外文参考书),SYYX(适用院系或专业),KCSM(课程说明),ZWNRJJ(中文内容简介),YWNRJJ(英文内容简介),KSRQ(开始日期),YBZS(预备知识),CZSJ(操作时间),BZ(备注),TKYY(停开原因),HFYY(恢复原因),XGXKLBDM(校公选课类别),XXKDM(先修课代码),XXKMC(先修课名称),KSXQ(开课学期),SFXGXK(是否校公选课),KCSJZXS(课程实践周学时),XFLBDM(学分类别代码),KCFL1(课程分类),SFSYSK(是否双语授课),SFQYWSK(是否全英文授课),CJKHFS(成绩考核方式),KCMB(课程目标),XXKSFQY(先修课是否启用),XXKBXTG(先修课必须通过)
B31XO,,004,6.0,zh,1.0,可扩展推理与深度学习I,Scalable Inference and Deep Learning I,,64.0,4.0,2,48.0,16.0,,,,,,,,,2.0,,,,,,,,,2021-06-11,,,,,,,,,,0.0,,,,,,,,,
ME062016,,023,7.0,zh,1.0,自动控制原理,Principle of automatic control,,48.0,3.0,2,42.0,6.0,,,,,,,,6.0,1.0,,,,,,,,,2021-09-24,,,,,,,,,,0.0,,,,,,,,,
XT006001,,019,34.0,sy,1.0,全球化与世界空间（双语）,world arena： facing globalization,,16.0,1.0,2,,,,,,,,16.0,,,2.0,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,
XT006002,,019,34.0,qy,1.0,城市与可持续发展的挑战（全英文）,Cities and the Challenge of Sustainable Development,,16.0,1.0,2,,,,,,,,16.0,,,2.0,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,
FL1101L,1.0,,1.0,,1.0,高级英语（Ⅰ）,Advanced English（Ⅰ）,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,,32+0周,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
FL1102L,1.0,,1.0,,1.0,高级英语（Ⅱ）,Advanced English（Ⅱ）,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,,32+0周,,,,,,开课学期为2,,,,,,2.0,0.0,,,,,,,,,
FL1501L,1.0,,1.0,,1.0,高级口语,Advanced Oral English,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,,32+0周,,,,,,开课学期为3,,,,,,1.0,0.0,,,,,,,,,
FL1502L,1.0,,1.0,,1.0,高级听力,Advanced Listening Comprehension,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,,32+0周,,,,,,开课学期为3,,,,,,1.0,0.0,,,,,,,,,
FL1503L,1.0,,1.0,,1.0,高级写作,Advanced English Writing,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,,32+0周,,,,,,开课学期为3,,,,,,1.0,0.0,,,,,,,,,
FL1504L,1.0,,1.0,,1.0,科技英语,Scientific English,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,,32+0周,,,,,,开课学期为3,,,,,,1.0,0.0,,,,,,,,,
FL1505L,1.0,,1.0,,1.0,英美文化,British and American Literature,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,,32+0周,,,,,,开课学期为3,,,,,,1.0,0.0,,,,,,,,,
FL1506L,1.0,,1.0,,1.0,英汉翻译,Translation From English to Chinese,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,,32+0周,,,,,,开课学期为3,,,,,,1.0,0.0,,,,,,,,,
B38CN,1.0,002,22.0,,1.0,通信与网络技术,Communication and Network Technologies,,64.0,4.0,2,48.0,0.0,0.0,0.0,16.0,16.0,0.0,,,0.0,1.0,,,,,,64+0周,,,,,,开课学期为4,,,,,,2.0,0.0,,,,,,,,,
TE5012,1.0,003,1.0,,1.0,职业能力培养,Cultivation of Career,,32.0,2.0,2,32.0,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,
TE6619,1.0,004,1.0,,1.0,移动互联网,Mobile Internet,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,,,,,,,,开课学期6,,,1.0,,,2.0,0.0,,,,,,,,,
IE8001,,,1.0,,1.0,法语（语言培训）,French (language training),,400.0,0.0,2,400.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,,语言培训,,,,,,,,,,,,1.0,0.0,,,,,,,,,
HA8048,1.0,,1.0,,1.0,刑法概论,Criminal Law  ,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为春,,,3.0,,,2.0,1.0,,,,,,,,,
ME9000,1.0,,1.0,,1.0,3D打印技术与应用,3D Printing Technology and Application,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,
TE1501L,1.0,004,1.0,,1.0,操作系统,Operating Systems,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,
TE6007L,1.0,004,1.0,,1.0,多媒体通信,Multimedia Communication,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
TE6008L,1.0,004,1.0,,1.0,认知无线电技术,Cognitive Radio Technology,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
TE6009L,1.0,004,1.0,,1.0,软件无线电技术,Software Defined Radio Technology,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
TE6010L,1.0,004,1.0,,1.0,数据链,Data Link,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
TE6011L,1.0,004,1.0,,1.0,通信前沿技术讲座,Lectures on Cutting-Edge Communications Technology,,8.0,0.5,2,8.0,,,,,,,,,,1.0,,,,,,,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
TE6012L,1.0,004,2.0,,1.0,现代通信系统测量实验,Experiment of Measurement of Modern communication system,,32.0,2.0,2,,64.0,,,,,,,,,2.0,,,,,,,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
TE6013L,1.0,004,1.0,,1.0,现代密码学,Modern cryptography,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
TE6101L,1.0,004,1.0,,1.0,网络管理,Network Management,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
TE6102L,1.0,004,1.0,,1.0,移动互联网,Mobile Internet,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
TE6103L,1.0,004,1.0,,1.0,通信与网络测量,Communication and Network Measurement,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
EM006014,,019,1.0,,1.0,微观经济学,Microeconomics,,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,,,,,,,,开课学期为1,,,5.0,,,1.0,1.0,,,,,,,,,
MS006020,,019,1.0,,1.0,《高等数学（Ⅰ）》提高研讨,Discussion on improving advanced Mathematics one,,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,,,,,,,,开课学期为1,,,6.0,,,1.0,1.0,,,,,,,,,
HA006017,,019,1.0,,1.0,中华养生文化概论,The introduction of Chinese health culture,,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,,,,,,,,开课学期为1,,,5.0,,,1.0,1.0,,,,,,,,,
HA006018,,019,1.0,,1.0,毕生发展心理学,Developmental psychology through lifespan,,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,,,,,,,,开课学期为1,,,5.0,,,1.0,1.0,,,,,,,,,
CS3002,1.0,002,10.0,,1.0,微机原理与系统设计,MicrocomputerPrinciple and System Design,,54.0,3.0,2,46.0,0.0,0.0,16.0,0.0,0.0,0.0,,,,1.0,,,,,,54+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
IB3123008,1.0,002,1.0,,1.0,数字信号处理,Digital Signal Processing,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
MA3022,1.0,002,23.0,,1.0,微机原理与系统设计,Microcomputer Principle and System Design,,64.0,4.0,2,48.0,0.0,0.0,16.0,0.0,16.0,0.0,,,,2.0,,,,,,64+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
ME7609,1.0,004,1.0,,1.0,微米纳米技术,Micro-meter and Nano-meter Technology,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
TE4121168,1.0,002,1.0,,1.0,空间物理导论,Introduction to Space Physics,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
EE5065,1.0,004,1.0,,1.0,卫星通信,Satellite Communication,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
TE6099,1.0,004,1.0,,1.0,卫星通信系统,Satellite  Communications Systems,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
EE5015,1.0,004,1.0,,1.0,卫星通信与导航,Satellite Communication and Navigation,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
TE6100,1.0,004,1.0,,1.0,无线IP网络与技术,Wireless IP Network and Technology,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
CS5009,1.0,004,1.0,,1.0,无线网络安全技术,Wireless Network Security Technology,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
EE6051,1.0,004,1.0,,1.0,电磁传播,Electromagnetic Propagation,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,,,,,,,,,,外聘专家课程,,,,,,1.0,0.0,,,,,,,,,
SE5043L,1.0,,10.0,,1.0,无线传感网络技术,Wireless Sensor Network Technology,,32.0,2.0,2,24.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
SE5045L,1.0,,10.0,,1.0,物联网技术,Internet of things Technology,,40.0,2.5,2,32.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,40+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
SE5901M,1.0,005,2.0,,1.0,计算机系统组装实习,Computer system assembly practice,,10.0,0.5,2,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,10+0周,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
SE5902L,1.0,005,2.0,,1.0,计算机组成与结构课程设计（Ⅰ）,Computer Organization and Architecture Course Design(I),,8.0,0.5,2,0.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,8+0周,,,,,,开课学期为4,,,,,,2.0,0.0,,,,,,,,,
SE5903L,1.0,005,2.0,,1.0,计算机组成与结构课程设计（Ⅱ）,Computer Organization and Architecture Course Design(II),,8.0,0.5,2,0.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,8+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
SE5905L,1.0,005,2.0,,1.0,电子技术综合实验A,Electronic Technology Synthetic Experiments A,,16.0,1.0,2,0.0,32.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,16+0周,,,,,,开课学期为4,,,,,,2.0,0.0,,,,,,,,,
SE5906L,1.0,005,2.0,,1.0,电子技术综合实验B,Electronic Technology Synthetic Experiments B,,16.0,1.0,2,0.0,32.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,16+0周,,,,,,开课学期为4,,,,,,2.0,0.0,,,,,,,,,
SE5915L,1.0,005,2.0,,1.0,程序设计实训,Programming Training ,,20.0,1.0,2,0.0,40.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,20+0周,,,,,,开课学期为3,,,,,,1.0,0.0,,,,,,,,,
SE5917L,1.0,005,2.0,,1.0,计算机系统课程设计（Ⅰ）,Computer Systems Course Design(I),,10.0,0.5,2,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,10+0周,,,,,,开课学期为4,,,,,,2.0,0.0,,,,,,,,,
SE5918L,1.0,005,2.0,,1.0,计算机系统课程设计（Ⅱ）,Computer Systems Course Design(Ⅱ),,8.0,0.5,2,0.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,16+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
SE5920L,1.0,005,2.0,,1.0,系统分析与设计综合实训,System Analysis and Design Comprehensive Training,,16.0,1.0,2,0.0,32.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,16+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
EE5004,1.0,003,1.0,,1.0,雷达原理,Radar Principles,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
EE5011,1.0,003,6.0,,1.0,电子信息系统综合实验,Electronic Information System Integrated Experiment,,48.0,3.0,2,12.0,72.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,48+0周,,,,,,开课学期为7，201411,,,,,,1.0,0.0,,,,,,,,,
EE5023,1.0,003,1.0,,1.0,新技术讲座,New Technology Seminar,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
EE5136,1.0,003,1.0,,1.0,项目主体研讨（分10人小班）,Seminar on Project Subjects (Small Class of 10 Students),,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
MS006035,,019,1.0,zw,1.0,复数及其应用,The application of complex numbers,掌握复数的基本概念，理解复数的作用。,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,全校所有专业,"意义：复数是现代通识教育的一门基本课程。通常放在大学一年级新生阶段。复变函
数论（又称复分析）是经过数个世纪发展起来的一门数学学科，且很多方面发展得
相当成熟，结果也相当丰富。通过学习，可以使学生更进一步感受数学之美。同时
复变函数论也是和实际相联系的一门学科，一些平面上（甚至更广）的实际问题可
以用复变函数建立模型并加以解决。
课程特色： 本课程属于数学基础课程，和数学分析有一些
相通之处，但也有着本质的不同。推广与创新是数学乃至科学研究中的一个很通用
的模式，学习复数这门课程正是体验这种模式、培养这种研究能力的一个方法。
复变函数的基本内容包括：复数的产生与发展，极限与连续性、导数与积分、级数、留数、
复数的几何，代数特性。
","（一）复数的产生( 4学时)(宋体五号加粗)
基本要求：了解复数的发现源于三次方程的根的表达式。
熟悉：“复”字表明所讨论的数域为复数，
掌握： 复矩阵、复变函数等。
重点：复数的发现， 难点：复数是一种拓广。
（二）复数与几何( 4学时)(宋体五号加粗)
基本要求：了解复数通过将水平轴用于实部，将垂直轴用于虚部，
熟悉 将一维数线的概念扩展到二维复平面。这些数字的点位于复平面的垂直轴上。
掌握 虚部为零的复数可以看作是实数。
重点：复数与数轴的对应。  难点：复数与平面对应
（三）复数与代数( 4学时)(宋体五号加粗)
基本要求：了解复数允许使用更丰富的代数结构，其中包括在向量空间中不一定可用的附加运算。
熟悉 两个复数的乘积总是再次产生一个复数，
掌握 不应将其误认为是涉及向量的常规“乘积”。
重点：复数之间的运算， 难点： 复数的乘积
（四）复数在高维空间的应用(4学时)(宋体五号加粗)
基本要求：了解两个复数的加法只是两个向量的向量加法，
熟悉 乘以一个固定复数的可以被看作同时旋转和伸缩。
掌握 是将复数看作能旋转及缩放二维位置矢量的矩阵。
重点：复数的乘法。 难点：复数在高维空间的应用
",,,,,,,,6.0,,,,1.0,,,,0.0,0.0,,,,
TE006017,,019,1.0,,1.0,陕西民俗学概论[1],An introduction to Shaanxi Folkloristics,,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,
II006013,,019,1.0,zh,0.0,电子系统工程设计项目管理,Project management of electronic system engineering design,,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,,,,,2021-05-19,,,,,,6.0,,,,1.0,,,,,,,,,
IC216007,,019,30.0,,1.0,如何把工作折腾成自己想要的样子,Career Management,,16.0,1.0,2,14.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,2021年国际双创实践周企业专家引课,,,9.0,,,,1.0,,,,,,,,,
IC216008,,021,30.0,,1.0,新时代企业发展之道与术——新形势、新思维、新方法,"The way of enterprise development in the new era -- new situation, new thinking and new method",,16.0,1.0,8,12.0,,,,4.0,,,,,,2.0,,,,,,,,,,,,2021年国际双创实践周企业专家引课,,,9.0,,,,1.0,,,,,,,,,
IC216009,,019,6.0,,1.0,TI机器人系统创新设计与实践,Innovation Design and Practice of TI Robot System,,16.0,1.0,2,4.0,,,,,,,,,12.0,2.0,,,,,,,,,,,,2021年国际双创实践周企业专家引课,,,9.0,,,,1.0,,,,,,,,,
IC216010,,019,6.0,,1.0,TI毫米波雷达创新设计与实践,Innovative Design and Practice of TI Millimeter Wave Radar,,16.0,1.0,2,4.0,,,,,,,,,12.0,2.0,,,,,,,,,,,,2021年国际双创实践周企业专家引课,,,9.0,,,,1.0,,,,,,,,,
IC216011,,019,6.0,,1.0,超大规模集成电路中的可测性关键技术,Design For Test Technology in Integrated Circuit Design,,16.0,1.0,2,12.0,,,,,,,,,4.0,2.0,,,,,,,,,,,,2021年国际双创实践周企业专家引课,,,9.0,,,,1.0,,,,,,,,,
IC216012,,019,6.0,,1.0,创业初期从到1的创客生存法则,Basic rules for entrepreneurs when start a business,,16.0,1.0,2,14.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,2021年国际双创实践周企业专家引课,,,9.0,,,,1.0,,,,,,,,,
IC216013,,019,30.0,,1.0,创业SOL,Entrepreneurial solutions,,16.0,1.0,2,8.0,,,,8.0,,,,,,2.0,,,,,,,,,,,,2021年国际双创实践周企业专家引课,,,9.0,,,,1.0,,,,,,,,,
IC216014,,019,30.0,,1.0,创新创业型企业运营机制,Operation mechanism of innovative and entrepreneurial enterprises,,16.0,1.0,2,14.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,2021年国际双创实践周企业专家引课,,,9.0,,,,1.0,,,,,,,,,
IB006009-15,,023,2.0,zw,1.0,电子线路实验（Ⅲ）,Electronic Circuit Experiment（Ⅲ）,,16.0,1.0,2,,32.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,
HA202018,,004,1.0,,1.0,佛家专题研究,Monographic Study of Buddhism,,32.0,2.0,2,32.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
HA202020,,004,1.0,,1.0,信息哲学,The philosophy of information,,32.0,2.0,2,32.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
HA202021,,004,1.0,,1.0,政治哲学,Political philosophy,,32.0,2.0,2,32.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
XT006003,,019,34.0,qy,1.0,气候变化科学与谈判（全英文）,Climate Change Science and Negotiations,,16.0,1.0,2,,,,,,,,16.0,,,2.0,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,
XT006004,,019,34.0,qy,1.0,设计的人因与文化（全英文）,User Experience (UX) Design: Human Factors and Culture in Design,,16.0,1.0,2,,,,,,,,16.0,,,2.0,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,
XT006005,,019,34.0,qy,1.0,中国哲学新视野（全英文）,New Horizons in Chinese Philosophy,,16.0,1.0,2,,,,,,,,16.0,,,2.0,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,
XT006006,,019,34.0,qy,1.0,金融学与当代中国（全英文）,Finance & Contemporary China,,16.0,1.0,2,,,,,,,,16.0,,,2.0,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,
XT006007,,019,34.0,qy,1.0,告诉你不知道的中国（全英文）,China as You Have Never Imagined,,16.0,1.0,2,,,,,,,,16.0,,,2.0,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,
XT006008,,019,34.0,qy,1.0,舌尖上的历史与文化（全英文）,A Bite of Chinese History and Culture,,16.0,1.0,2,,,,,,,,16.0,,,2.0,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,
AI202105,,004,10.0,zh,1.0,操作系统,Operating System,,48.0,3.0,2,40.0,,,16.0,,,,,,,1.0,,,,,,,,,2022-03-23,,,,,,,,,,0.0,,,,,,,,,
EM115013,,004,6.0,zh,1.0,旅游大数据分析,Tourism Big Data Analysis,,32.0,2.0,2,24.0,16.0,,,,,,,,,2.0,,,,,,,,,2022-03-23,,,,,,,,,,0.0,,,,,,,,,
HE200008-1,,003,1.0,zh,1.0,专项训练与实践（Ⅰ）,Specialized Training and Practice（Ⅰ）,,108.0,3.0,6,108.0,,,,,,,,,,2.0,,,,,,,,,2022-05-06,,,,,,,,,,0.0,,,,,,,,,
HE200008-2,,003,1.0,zh,1.0,专项训练与实践（Ⅱ）,Specialized Training and Practice（Ⅱ）,,108.0,3.0,6,108.0,,,,,,,,,,2.0,,,,,,,,,2022-05-06,,,,,,,,,,0.0,,,,,,,,,
HE200008-3,,003,1.0,zh,1.0,专项训练与实践（Ⅲ）,Special training and practice（Ⅲ）,,108.0,3.0,6,108.0,,,,,,,,,,2.0,,,,,,,,,2022-05-06,,,,,,,,,,0.0,,,,,,,,,
HE200047-4,,022,1.0,zh,1.0,专业实践（Ⅳ）,Professional practice（Ⅳ）,,40.0,2.0,4,40.0,,,,,,,,,,2.0,,,,,,,,,2022-05-06,,,,,,,,,,0.0,,,,,,,,,
HE200047-5,,022,1.0,zh,1.0,专业实践（Ⅴ）,Professional practice（Ⅴ）,,40.0,2.0,4,40.0,,,,,,,,,,2.0,,,,,,,,,2022-05-06,,,,,,,,,,0.0,,,,,,,,,
EM X1 6003,,021,1.0,zh,1.0,高等数学B(I),Advanced Mathematics B(I),,64.0,4.0,2,64.0,,,,,,,,,,1.0,,,,,,,,,2022-05-06,,,,,,,,,,0.0,,,,,,,,,
ENGL 1105,,017,1.0,zh,1.0,学术英语写作(I),First-Year Writing(Pathways 1),,48.0,3.0,2,48.0,,,,,,,,,,2.0,,,,,,,,,2022-05-06,,,,,,,,,,0.0,,,,,,,,,
TS001004-50,,020,1.0,zh,1.0,工程概论(IV),Introduction to Engineering(IV),,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,,,,,2022-05-23,,,,,,,,,,0.0,,,,,,,,,
IB006008-50,,023,2.0,zh,1.0,电子线路实验（Ⅱ）,Electronic Circuit Experiment（Ⅱ）,,16.0,1.0,1,,32.0,,,,,,,,,2.0,,,,,,,,,2022-05-23,,,,,,,,,,0.0,,,,,,,,,
OE014018,,018,2.0,zh,1.0,生产实习,Training for Working,,2.0,2.0,1,,,,,,,,,2,,2.0,,,,,,,,,2022-05-23,,,,,,,,,,0.0,,,,,,,,,
OE035005,,004,1.0,zh,1.0,固体物理,Solid State Physics,,48.0,3.0,4,48.0,,,,,,,,,,2.0,,,,,,,,,2022-05-23,,,,,,,,,,0.0,,,,,,,,,
HA006145,,019,1.0,,1.0,中国现当代小说选读,Selected Readings of Modern and Contemporary Chinese Novels,"课程的教学目标与任务
（1）增强学生对中国现当代小说的基本认知，调动学生对我国现代文学经典的兴趣；
（2）提高学生的审美鉴赏能力、诵读能力和文字写作能力；
（3）培养学生的健全人格，涵养学生的性情。",16.0,1.0,2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,"《中国现当代文学名著导读》，钱理群主编，北京大学出版社
","1.《中国现代文学史》，程光炜、刘勇等主编，北京大学出版社；
2.《中国当代文学史》，洪子诚著，北京大学出版社；
3.《中国现当代文学专题研究》，温儒敏、赵祖谟主编，北京大学出版社；
《中国现当代文学名篇十五讲》，陈思和著，北京大学出版社。",,,无限制,"“中国现当代小说选读”是面向全校本科生开设的人文素质选修课，其开设目的有三：
（1）增强学生对中国现当代小说的基本认知，调动学生对我国现代文学经典的兴趣；
（2）提高学生的审美鉴赏能力、诵读能力和文字写作能力；
（3）培养学生的健全人格，涵养学生的性情。","“中国现当代小说选读”是面向全校本科生开设的人文素质选修课，其开设目的有三：
（1）增强学生对中国现当代小说的基本认知，调动学生对我国现代文学经典的兴趣；
（2）提高学生的审美鉴赏能力、诵读能力和文字写作能力；
（3）培养学生的健全人格，涵养学生的性情。
·本课程的特色在于两个方面：
（1）本课程坚持课堂文本细读和多样化的课堂活动相结合，既注重对学生的阅读指导和鉴赏能力的培养，又倡导开放性、创造性阅读，通过“精彩片段诵读”、“鉴赏文章讨论会”、“经典话剧欣赏”等多种形式，鼓励学生通过阅读提升文学感悟能力和作品赏析能力，通过讨论提升自己的语言表达能力。
（2）将课程思政内容融入课堂教学，使学生在赏析文学经典的过程中获取对于人情、人生、人性等的认识，成长为人格健全的大学生。",,,,,,,,5.0,,,,1.0,0.0,3.0,,0.0,0.0,"本课程最终成绩由平时成绩和期末成绩组合而成。各部分所占比例如下：
平时成绩：40%，主要以随堂答题、讨论的方式进行，考察学生对课堂内容的理解和对相关作品的把握程度，也包括考勤签到、在线学习的相关成绩；
期末成绩：60%，期末拟采取课程论文的形式进行，主要考察学生的文学鉴赏能力和语言文字表达能力。","课程的教学目标与任务
（1）增强学生对中国现当代小说的基本认知，调动学生对我国现代文学经典的兴趣；
（2）提高学生的审美鉴赏能力、诵读能力和文字写作能力；
（3）培养学生的健全人格，涵养学生的性情。",,
